date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:55:26	179634/179634	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Apr%202026%2008:55:26%20GMT	https://www.qorvo.com/products/amplifiers/power-amplifiers	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/products/amplifiers/power-amplifiers.html	(from )
03:55:28	288/288	---M-Z	200	added ('OK')	text/plain	etag:%220fb95217a9dc1:0%22	https://www.qorvo.com/robots.txt		(from )
03:55:28	4209/4209	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-57x57-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-57x57-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:29	6686/6686	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-114x114-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-114x114-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:30	4756/4756	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-72x72-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-72x72-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:31	8240/8240	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-144x144-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-144x144-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:32	4375/4375	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-60x60-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-60x60-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:33	7095/7095	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-120x120-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-120x120-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:34	4843/4843	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-76x76-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-76x76-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:35	8762/8762	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-152x152-bw.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/apple-touch-icon-152x152-bw.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:36	15981/15981	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-196x196.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-196x196.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:37	3137/3137	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-96x96.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-96x96.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:38	577/577	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-32x32.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-32x32.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:39	366/366	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-16x16.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-16x16.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:40	2711/2711	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-128.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon-128.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:41	34494/34494	---M--	200	added ('OK')	image/x-icon	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon.ico	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/favicon.ico	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:42	7943/7943	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-144x144.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-144x144.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:43	2711/2711	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-70x70.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-70x70.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:44	22958/22958	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-150x150.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-150x150.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:45	42932/42932	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-310x150.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-310x150.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:47	107615/107615	---M--	200	added ('OK')	image/png	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-310x310.png	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/images/Favicon/mstile-310x310.png	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:49	293730/293730	---M-Z	200	added ('OK')	text/css	etag:%220bf4e167ec6db1:0%22	https://www.qorvo.com/Content/QorvoPublic/css/main.css	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/css/main.css	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
03:55:49	2377/2377	---M-Z	200	added ('OK')	text/css	etag:%220e929afa146db1:0%22	https://www.qorvo.com/Content/QorvoPublic/css/loading.css	/home/andrey/Downloads/apex-ai/websites/qorvo/www.qorvo.com/Content/QorvoPublic/css/loading.css	(from https://www.qorvo.com/products/amplifiers/power-amplifiers)
